customerid,customer_name,country,state,gender,dob,interests,pincode,subscription_start_date,subscription_type,plan_type,contract_type,renewal_date,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,ticket_id,complaint_date,escalations,csat_score,complaint_count
0257-LAWKP,Priya Kumar,Nepal,Koshi,Female,1980-11-11,"Documentaries, Live TV",56763,2024-07-10,Refferal,premium,Monthly,2026-07-17,,,14.99,422.0,10,0,238.0,2026-02-06,N,5.0,1.0
0258-ONYNZ,Vikram Maharjan,India,Karnataka,Female,1976-08-08,"Documentaries, Live TV",560138,2024-11-26,Paid,premium,Monthly,2027-03-02,,,28.99,898.0,17,0,239.0,2026-05-19,N,3.0,1.0
0259-QCEDS,Kavita Shrestha,Nepal,Bagmati,Male,1976-05-01,"Movies, Sports",44713,2025-05-06,Refferal,premium,Monthly,2026-09-22,,,22.99,276.0,10,0,,,,,
0260-CDGIZ,Sneha Rai,Nepal,Madhesh,Male,1976-11-03,"Documentaries, Live TV",44334,2025-06-02,Organic,standard,Monthly,2026-08-24,2026-07-09,Too expensive,16.99,1082.0,100,1,340.0,2026-07-02,Y,1.0,2.0
0261-UPTSF,Vikram Yadav,India,Uttar Pradesh,Female,1984-02-09,Sports,226279,2025-04-20,Organic,premium,Monthly,2026-10-04,2026-04-11,Content fatigue,18.99,244.0,93,1,90.0,2026-02-24,Y,1.0,1.0
0262-SUWNU,Pooja Singh,Nepal,Lumbini,Female,1974-06-11,Sports,32902,2026-02-26,Paid,standard,Annually,2026-11-28,,,18.99,451.0,12,0,,,,,
0263-QLKKO,Amit Rai,Nepal,Karnali,Male,2003-08-08,Web Series,21250,2025-03-04,Organic,premium,Monthly,2026-11-20,2026-05-04,Switched to competitor,14.99,1264.0,94,1,341.0,2026-04-26,Y,1.0,2.0
0264-ZLWLF,Vikram Lama,India,West Bengal,Female,1974-05-17,Sports,700694,2025-09-05,Paid,premium,Annually,2027-05-19,,,22.99,169.0,30,0,,,,,
0265-DCGUN,Neha Thapa,India,Bihar,Female,1999-08-15,Sports,800442,2025-06-01,Organic,basic,Annually,2026-08-27,2026-06-28,Content fatigue,25.99,1177.0,77,1,342.0,2026-06-21,Y,1.0,2.0
0266-GEGXV,Priya Lama,Nepal,Bagmati,Male,1974-11-07,Web Series,44794,2024-03-31,Refferal,premium,Monthly,2026-10-24,,,21.99,1586.0,3,0,,,,,
0267-IAKRS,Amit Kumar,Nepal,Koshi,Male,1990-08-29,"Movies, Sports",56764,2024-04-15,Organic,standard,Annually,2026-10-11,,,22.99,541.0,13,0,,,,,
0268-CTNAV,Sneha Thapa,India,Telangana,Female,1996-01-25,"Movies, Sports",500019,2025-04-12,Refferal,basic,Annually,2026-10-12,2026-07-07,Too expensive,20.99,487.0,72,1,343.0,2026-07-04,Y,1.0,2.0
0269-BEGAC,Gaurav Singh,India,Rajasthan,Female,1994-11-23,"Movies, Sports",302398,2025-07-10,Organic,basic,Annually,2026-07-15,2026-06-26,Too expensive,15.99,1571.0,6,1,94.0,2026-06-19,N,2.0,1.0
0270-XMMAM,Amit Lama,Nepal,Gandaki,Female,1987-02-05,Web Series,33737,2024-12-02,Refferal,premium,Annually,2027-02-22,2026-04-23,Content fatigue,13.99,1379.0,100,1,95.0,2026-03-01,Y,2.0,1.0
0271-BEUNJ,Sanjay Karki,India,West Bengal,Male,1976-12-09,Web Series,700691,2024-03-17,Refferal,basic,Annually,2026-11-09,2026-04-28,Too expensive,28.99,823.0,80,1,96.0,2026-03-31,Y,3.0,1.0
0272-JEVPA,Sarah Lama,India,West Bengal,Female,1976-04-03,"Movies, Sports",700332,2024-02-10,Organic,premium,Annually,2026-12-15,2026-05-22,Too expensive,17.99,1303.0,89,1,97.0,2026-04-07,Y,3.0,1.0
0273-UXZYV,John Yadav,Nepal,Sudurpashchim,Female,2002-10-09,Sports,10954,2023-11-24,Refferal,basic,Annually,2027-03-01,2026-06-22,Too expensive,24.99,1133.0,94,1,98.0,2026-05-01,Y,1.0,1.0
0274-CQENM,Kiran Kumar,Nepal,Madhesh,Female,1999-12-29,"Movies, Sports",44304,2025-05-08,Refferal,standard,Monthly,2026-09-16,2026-07-08,Too expensive,12.99,1486.0,78,1,99.0,2026-05-09,Y,1.0,1.0
0275-FBOVY,Ruhul Gurung,India,Madhya Pradesh,Male,1980-12-12,"Movies, Sports",462561,2024-04-24,Organic,premium,Monthly,2026-10-04,,,25.99,1532.0,17,0,240.0,2025-09-24,N,5.0,1.0
0276-CWXPU,Vikram Lama,India,Tamil Nadu,Male,1971-09-22,Web Series,600550,2024-09-16,Refferal,premium,Annually,2027-05-06,,,15.99,607.0,12,0,,,,,
0277-INJON,Gaurav Karki,India,Assam,Male,1991-02-20,"Movies, Sports",781537,2025-05-05,Refferal,standard,Monthly,2026-09-17,2026-05-16,Switched to competitor,9.99,1196.0,73,1,100.0,2026-04-09,Y,2.0,1.0
0278-MTDBZ,Kiran Yadav,India,Delhi,Female,1993-06-16,Sports,110254,2025-07-13,Refferal,premium,Annually,2026-07-14,,,26.99,1317.0,14,0,241.0,2026-07-08,N,3.0,1.0
0279-LHQKF,Rahul Lama,Nepal,Sudurpashchim,Female,1976-01-20,Web Series,10976,2023-09-05,Refferal,standard,Annually,2027-05-20,,,28.99,1277.0,25,0,,,,,
0280-UEBKJ,Sneha Magar,Nepal,Koshi,Female,1997-06-16,Web Series,56725,2025-03-17,Refferal,basic,Monthly,2026-11-11,,,21.99,596.0,12,0,,,,,
0281-UXBKA,Rahul Gupta,India,Bihar,Female,1973-03-17,Sports,800401,2023-10-12,Organic,premium,Annually,2027-04-11,,,25.99,733.0,23,0,242.0,2025-12-01,N,5.0,1.0
0282-VGVSV,Rahul Rai,Nepal,Lumbini,Male,1988-09-11,"Movies, Sports",32954,2025-02-13,Organic,standard,Annually,2026-12-07,,,24.99,455.0,23,0,,,,,
0283-QVELH,Rohan Singh,India,Assam,Female,1977-01-10,"Documentaries, Live TV",781955,2024-12-08,Paid,standard,Annually,2027-02-12,2026-04-18,Switched to competitor,12.99,1173.0,90,1,101.0,2026-03-01,Y,1.0,1.0
0284-ZTFRB,Amit Smith,India,West Bengal,Male,1978-11-21,"Movies, Sports",700251,2025-12-22,Refferal,standard,Monthly,2027-02-02,,,25.99,1434.0,21,0,,,,,
0285-RZPSX,Neha Smith,India,Rajasthan,Female,1989-02-01,"Documentaries, Live TV",302791,2025-12-28,Paid,standard,Monthly,2027-01-29,,,18.99,202.0,5,0,,,,,
0286-ZSHXN,Pooja Joshi,India,Maharashtra,Female,1980-12-06,Web Series,400144,2024-11-17,Organic,standard,Monthly,2027-03-11,,,14.99,578.0,18,0,,,,,
0287-JRCOZ,Gaurav Gupta,Nepal,Koshi,Female,1977-08-29,Sports,56782,2024-07-12,Organic,standard,Annually,2027-07-11,,,18.99,873.0,13,0,,,,,
0288-OSOGN,Gaurav Karki,India,Gujarat,Female,1980-07-12,"Movies, Sports",395460,2025-10-10,Paid,premium,Annually,2027-04-12,,,20.99,155.0,6,0,,,,,
0289-OCIBX,Vikram Gupta,India,Karnataka,Female,2003-01-31,Sports,560954,2024-10-16,Refferal,premium,Monthly,2027-04-12,,,25.99,674.0,18,0,,,,,
0290-GFFEB,Priya Yadav,Nepal,Kathmandu,Female,2001-08-10,Sports,44680,2025-03-01,Organic,standard,Monthly,2026-11-21,2026-06-05,Switched to competitor,17.99,974.0,79,1,102.0,2026-04-17,Y,1.0,1.0
0291-LCHBF,Aisha Yadav,India,Punjab,Female,1987-04-05,"Movies, Sports",144156,2026-05-06,Paid,standard,Annually,2026-09-22,,,14.99,1389.0,3,0,,,,,
0292-LGBIQ,Ruhul Gurung,Nepal,Bagmati,Male,1978-04-21,Sports,44718,2025-01-12,Paid,standard,Annually,2027-01-10,,,9.99,161.0,28,0,243.0,2025-10-18,N,4.0,1.0
0293-KMEAG,Sanjay Magar,India,Punjab,Female,1989-09-16,Sports,144461,2026-05-31,Paid,premium,Monthly,2026-08-24,,,17.99,274.0,30,0,,,,,
0294-VSCLJ,Priya Karki,Nepal,Lumbini,Male,1987-10-26,Sports,32996,2024-10-27,Paid,premium,Monthly,2027-04-01,,,22.99,1506.0,10,0,,,,,
0295-QHJTP,Vikram Sharma,India,Bihar,Male,1973-08-04,"Documentaries, Live TV",800189,2024-07-18,Paid,premium,Monthly,2027-07-09,,,28.99,736.0,8,0,,,,,
0296-UFYMR,Ruhul Patel,India,Karnataka,Female,1978-05-15,Web Series,560504,2026-04-22,Paid,standard,Monthly,2026-10-06,2026-04-09,Too expensive,28.99,184.0,30,1,103.0,2026-02-20,N,3.0,1.0
0297-PCFLH,Arjun Shah,Nepal,Madhesh,Female,2002-01-31,Web Series,44349,2026-06-09,Refferal,standard,Annually,2026-08-19,,,21.99,917.0,22,0,,,,,
0298-VPYOY,Anjali Rai,Nepal,Sudurpashchim,Male,1974-09-13,Web Series,10936,2026-05-17,Paid,standard,Annually,2026-09-07,,,12.99,1281.0,10,0,,,,,
0299-LFQXC,Kiran Karki,India,Odisha,Female,1985-05-31,"Movies, Sports",751674,2024-09-24,Refferal,standard,Annually,2027-05-04,2026-05-14,Too expensive,15.99,525.0,91,1,104.0,2026-04-29,Y,1.0,1.0
0300-MYPPT,John Lama,India,Delhi,Male,1995-04-12,Sports,110208,2023-08-06,Organic,basic,Annually,2027-06-21,,,11.99,373.0,13,0,,,,,
0301-JHTEM,Sunita Singh,India,Delhi,Male,1996-02-07,Web Series,110931,2025-12-07,Paid,basic,Annually,2027-02-15,,,23.99,1335.0,24,0,,,,,
0302-QUWYQ,Ravi Gupta,Nepal,Bagmati,Female,2004-08-20,"Movies, Sports",44737,2025-08-31,Refferal,basic,Annually,2027-05-26,2026-04-20,Content fatigue,13.99,417.0,84,1,344.0,2026-04-17,Y,1.0,2.0
0303-TQUXB,Kavita Rai,India,Telangana,Female,1981-07-10,"Movies, Sports",500871,2024-09-02,Refferal,basic,Annually,2027-05-24,,,27.99,1543.0,29,0,,,,,
0304-WSLNF,Kiran Shrestha,Nepal,Karnali,Male,1979-04-20,Sports,21250,2023-12-27,Organic,premium,Annually,2027-01-25,,,27.99,1331.0,3,0,244.0,2025-11-01,N,5.0,1.0
0305-CQDIW,Sneha Shrestha,Nepal,Madhesh,Male,2005-11-13,"Documentaries, Live TV",44360,2025-04-10,Organic,basic,Monthly,2026-10-14,2026-04-11,Content fatigue,27.99,642.0,77,1,106.0,2026-02-15,Y,1.0,1.0
0306-UWLGW,Ruhul Sharma,Nepal,Karnali,Female,1992-10-08,Web Series,21271,2026-04-22,Paid,premium,Annually,2026-09-30,2026-05-23,Too expensive,27.99,517.0,12,1,107.0,2026-05-12,N,1.0,1.0
0307-QOQJJ,Ruhul Adhikari,India,Delhi,Female,2000-04-04,Sports,110381,2024-04-24,Refferal,standard,Monthly,2026-09-28,2026-06-04,Too expensive,26.99,592.0,81,1,108.0,2026-04-23,Y,2.0,1.0
0308-WMLMB,John Adhikari,India,Telangana,Female,1999-02-13,Web Series,500559,2025-06-16,Paid,standard,Monthly,2026-08-10,2026-05-29,Content fatigue,19.99,598.0,76,1,345.0,2026-05-23,Y,1.0,2.0
0309-HENNM,Priya Adhikari,India,Delhi,Male,1981-02-10,"Documentaries, Live TV",110633,2025-03-13,Paid,standard,Annually,2026-11-13,2026-04-19,Switched to competitor,25.99,1417.0,82,1,110.0,2026-03-29,Y,3.0,1.0
0310-NVLMK,Vikram Sharma,India,Maharashtra,Female,1974-10-05,"Movies, Sports",400155,2026-04-04,Organic,standard,Monthly,2026-10-24,,,19.99,1558.0,11,0,,,,,
0311-RWMLQ,Kavita Maharjan,Nepal,Lumbini,Male,1999-02-18,Sports,32919,2025-08-29,Organic,standard,Monthly,2027-05-24,,,16.99,238.0,10,0,,,,,
0312-EYJXI,Pooja Joshi,Nepal,Karnali,Female,2004-04-08,Sports,21275,2023-10-09,Paid,standard,Annually,2027-04-16,,,28.99,1049.0,18,0,,,,,
0313-IMQCR,Kiran Rai,Nepal,Karnali,Female,1986-07-05,Web Series,21276,2024-03-06,Paid,premium,Monthly,2026-11-20,,,14.99,1084.0,9,0,245.0,2026-03-22,N,5.0,1.0
0314-YPTEA,Amit Shah,India,Punjab,Female,1995-09-13,"Documentaries, Live TV",144932,2026-02-19,Paid,standard,Monthly,2026-12-03,,,15.99,428.0,27,0,,,,,
0315-DRILP,Amit Kumar,Nepal,Karnali,Male,2001-06-13,"Documentaries, Live TV",21238,2024-08-16,Paid,premium,Annually,2027-06-06,2026-07-03,Too expensive,24.99,339.0,6,1,111.0,2026-06-01,N,3.0,1.0
0316-YGMHK,Ruhul Yadav,Nepal,Sudurpashchim,Male,1983-08-23,Web Series,10937,2025-06-26,Paid,premium,Monthly,2026-07-27,,,10.99,684.0,23,0,,,,,
0317-RJYVI,Ravi Karki,India,Delhi,Male,1994-10-12,Web Series,110239,2026-03-16,Organic,basic,Annually,2026-11-12,,,27.99,959.0,9,0,,,,,
0318-EBZHH,John Lama,India,Telangana,Female,2002-05-31,Sports,500855,2024-08-17,Refferal,standard,Annually,2027-06-11,,,21.99,245.0,16,0,246.0,2025-12-17,N,5.0,1.0
0319-EITXK,Gaurav Smith,Nepal,Madhesh,Male,1981-08-19,"Movies, Sports",44326,2025-03-26,Organic,standard,Monthly,2026-10-31,,,22.99,1068.0,28,0,247.0,2026-05-13,N,4.0,1.0
0320-XFPJJ,Kavita Gurung,Nepal,Koshi,Male,1976-10-27,"Movies, Sports",56786,2025-12-29,Organic,standard,Annually,2027-01-28,,,11.99,397.0,22,0,248.0,2026-03-13,N,5.0,1.0
0321-DGLFJ,Amit Joshi,India,Tamil Nadu,Female,1988-01-18,Sports,600569,2024-05-25,Organic,basic,Annually,2026-08-28,,,15.99,801.0,14,0,,,,,
0322-ESXUL,Neha Magar,India,Karnataka,Male,2001-08-09,"Documentaries, Live TV",560107,2025-11-25,Refferal,premium,Annually,2027-02-25,2026-06-29,Switched to competitor,26.99,1537.0,83,1,346.0,2026-06-19,Y,1.0,2.0
0323-PRBCJ,Rahul Sharma,Nepal,Lumbini,Male,1979-03-13,Web Series,32923,2025-02-13,Organic,basic,Annually,2026-12-11,,,17.99,687.0,1,0,249.0,2026-02-03,N,5.0,1.0
0324-QACMR,Ruhul Chaudhary,India,West Bengal,Female,2004-05-19,Web Series,700167,2026-02-01,Refferal,standard,Annually,2026-12-21,,,26.99,693.0,17,0,,,,,
0325-MGNGD,Sanjay Magar,India,Assam,Female,1985-04-06,"Documentaries, Live TV",781946,2025-07-26,Organic,basic,Monthly,2027-06-27,2026-05-03,Switched to competitor,21.99,520.0,98,1,347.0,2026-04-29,Y,1.0,2.0
0326-VAFWA,Sunita Magar,Nepal,Madhesh,Male,2003-11-16,Sports,44348,2024-05-08,Organic,basic,Monthly,2026-09-16,,,20.99,484.0,25,0,,,,,
0327-DOQMK,Rahul Karki,Nepal,Koshi,Male,1983-10-20,Sports,56745,2024-02-26,Organic,premium,Annually,2026-11-25,,,12.99,747.0,6,0,250.0,2025-11-04,N,3.0,1.0
0328-MWNPR,Arjun Gupta,Nepal,Sudurpashchim,Male,1993-11-20,Web Series,10935,2025-12-13,Refferal,standard,Annually,2027-02-07,,,21.99,1133.0,2,0,,,,,
0329-PQVFX,Neha Karki,Nepal,Kathmandu,Male,1986-01-11,"Documentaries, Live TV",44653,2025-09-06,Organic,basic,Annually,2027-05-20,,,25.99,335.0,19,0,251.0,2026-05-26,N,4.0,1.0
0330-MREKZ,Anjali Shah,Nepal,Koshi,Female,2000-08-28,Web Series,56799,2023-09-07,Organic,basic,Monthly,2027-05-16,,,28.99,180.0,24,0,252.0,2026-05-23,N,3.0,1.0
0331-BPAIS,Ravi Chaudhary,Nepal,Karnali,Male,1978-02-13,Sports,21237,2025-05-28,Organic,premium,Annually,2026-08-25,2026-04-29,Switched to competitor,14.99,665.0,80,1,348.0,2026-04-22,Y,1.0,2.0
0332-NNIGO,Rahul Patel,Nepal,Bagmati,Male,1973-06-25,Web Series,44701,2025-02-12,Refferal,standard,Annually,2026-12-08,,,22.99,569.0,16,0,253.0,2025-11-06,N,5.0,1.0
0333-GKLSF,Kiran Magar,India,Rajasthan,Female,1985-06-29,Web Series,302721,2024-09-11,Refferal,premium,Monthly,2027-05-11,2026-06-24,Switched to competitor,18.99,358.0,89,1,349.0,2026-06-22,Y,1.0,2.0
0334-EMBAE,Ruhul Karki,Nepal,Lumbini,Female,2001-10-07,"Documentaries, Live TV",32945,2024-10-15,Organic,standard,Monthly,2027-04-13,2026-06-19,Switched to competitor,28.99,860.0,98,1,116.0,2026-05-14,Y,2.0,1.0
0335-UAPMG,Vikram Joshi,Nepal,Madhesh,Female,1976-10-28,Sports,44340,2025-07-09,Organic,premium,Annually,2026-07-18,,,15.99,921.0,21,0,,,,,
0336-YNKUS,Sneha Sharma,Nepal,Bagmati,Female,1980-11-29,"Documentaries, Live TV",44740,2025-05-23,Paid,premium,Monthly,2026-09-05,2026-06-19,Content fatigue,17.99,1288.0,15,1,117.0,2026-06-18,N,1.0,1.0
0337-TRTFY,Ravi Lama,India,West Bengal,Female,1978-08-15,"Documentaries, Live TV",700188,2024-11-09,Refferal,basic,Annually,2027-03-19,,,23.99,599.0,17,0,,,,,
0338-HLIDQ,Sneha Gurung,India,Odisha,Female,1988-06-03,Web Series,751635,2024-09-08,Paid,premium,Annually,2027-05-18,,,26.99,363.0,1,0,,,,,
0339-XRWAY,Rahul Shrestha,Nepal,Lumbini,Female,1988-07-23,"Movies, Sports",32904,2025-10-11,Organic,premium,Annually,2027-04-17,2026-05-11,Too expensive,15.99,207.0,90,1,118.0,2026-05-08,Y,3.0,1.0
0340-QCKHS,Amit Singh,Nepal,Madhesh,Female,2002-01-05,"Documentaries, Live TV",44396,2026-07-03,Refferal,basic,Monthly,2026-07-20,,,12.99,1016.0,21,0,254.0,2026-05-19,N,5.0,1.0
0341-QJEGW,Sneha Yadav,Nepal,Madhesh,Female,1987-01-07,"Movies, Sports",44337,2026-07-03,Paid,standard,Monthly,2026-07-20,2026-05-20,Content fatigue,10.99,1008.0,98,1,119.0,2026-05-14,Y,3.0,1.0
0342-TGXEB,Arjun Gurung,Nepal,Koshi,Female,1972-03-29,"Documentaries, Live TV",56788,2024-05-13,Organic,premium,Annually,2026-09-09,,,15.99,509.0,4,0,255.0,2026-04-18,N,4.0,1.0
0343-BBXGY,Anjali Kumar,Nepal,Gandaki,Female,1992-12-01,Sports,33796,2026-04-17,Organic,standard,Monthly,2026-10-11,,,15.99,1524.0,22,0,256.0,2026-04-02,N,5.0,1.0
0344-PQXOC,Kavita Adhikari,Nepal,Kathmandu,Male,1994-06-13,"Documentaries, Live TV",44664,2024-05-15,Organic,basic,Annually,2026-09-11,2026-04-12,Content fatigue,19.99,103.0,76,1,350.0,2026-04-11,Y,1.0,2.0
0345-MDYXU,Sanjay Adhikari,India,Punjab,Female,1995-10-08,Web Series,144747,2025-10-21,Organic,basic,Monthly,2027-04-03,2026-05-05,Content fatigue,11.99,992.0,29,1,121.0,2026-04-16,N,2.0,1.0
0346-PQIPJ,Ruhul Singh,Nepal,Gandaki,Female,1992-07-02,Sports,33735,2026-01-09,Refferal,standard,Annually,2027-01-13,,,12.99,375.0,25,0,257.0,2025-12-18,N,4.0,1.0
0347-HAQVJ,Kavita Magar,India,Telangana,Female,1980-05-21,"Movies, Sports",500230,2025-05-05,Refferal,basic,Monthly,2026-09-21,2026-04-07,Content fatigue,27.99,1554.0,75,1,351.0,2026-03-28,Y,1.0,2.0
0348-BUZUP,Rohan Magar,India,Delhi,Male,1979-04-25,"Documentaries, Live TV",110318,2025-10-08,Refferal,premium,Monthly,2027-04-18,,,16.99,1318.0,63,0,258.0,2025-09-29,Y,5.0,1.0
0349-WKORU,Sarah Patel,Nepal,Koshi,Male,1997-04-02,"Movies, Sports",56746,2023-12-22,Paid,standard,Monthly,2027-01-30,,,18.99,834.0,21,0,,,,,
0350-WYWRV,Rohan Yadav,India,Tamil Nadu,Female,1980-10-14,"Movies, Sports",600000,2025-02-06,Organic,premium,Annually,2026-12-18,,,26.99,227.0,17,0,259.0,2025-09-19,N,4.0,1.0
0351-JFARX,Pooja Singh,India,Uttar Pradesh,Male,2002-03-18,Sports,226411,2023-11-03,Paid,premium,Annually,2027-03-24,,,20.99,803.0,24,0,,,,,
0352-XWSQV,Ravi Adhikari,Nepal,Madhesh,Male,1973-03-22,Web Series,44370,2025-11-22,Organic,premium,Monthly,2027-02-28,2026-04-22,Switched to competitor,10.99,244.0,73,1,352.0,2026-04-16,Y,1.0,2.0
0353-TXVBZ,Ruhul Yadav,Nepal,Kathmandu,Female,1995-08-09,Sports,44657,2025-11-27,Organic,standard,Monthly,2027-02-25,2026-06-06,Switched to competitor,28.99,684.0,74,1,353.0,2026-05-29,Y,1.0,2.0
0354-CJUPY,Gaurav Shah,Nepal,Gandaki,Female,2002-06-01,Sports,33751,2023-11-27,Refferal,premium,Monthly,2027-03-02,,,20.99,662.0,28,0,,,,,
0355-BPFIU,Sarah Gupta,Nepal,Kathmandu,Male,1998-12-12,Sports,44680,2024-09-11,Organic,premium,Annually,2027-05-15,,,13.99,1045.0,8,0,260.0,2026-01-22,N,4.0,1.0
0356-ZLWED,Sunita Yadav,India,Tamil Nadu,Female,2001-05-25,Web Series,600103,2024-03-21,Paid,basic,Annually,2026-11-03,,,20.99,121.0,15,0,,,,,
0357-RIOGU,Neha Kumar,India,Assam,Male,1987-02-20,Web Series,781798,2025-03-03,Organic,premium,Annually,2026-11-23,2026-06-18,Content fatigue,12.99,1379.0,99,1,354.0,2026-06-13,Y,1.0,2.0
0358-QEINL,Gaurav Joshi,Nepal,Gandaki,Female,1991-08-04,"Documentaries, Live TV",33758,2025-10-28,Organic,standard,Monthly,2027-03-27,,,20.99,1424.0,21,0,,,,,
0359-NXGEJ,Amit Patel,India,Odisha,Male,1977-03-24,Web Series,751949,2024-02-05,Refferal,premium,Monthly,2026-12-20,2026-05-02,Switched to competitor,20.99,1194.0,95,1,126.0,2026-04-24,Y,2.0,1.0
0360-YEWHH,Gaurav Gupta,Nepal,Lumbini,Male,1993-04-26,Web Series,32945,2023-10-18,Organic,premium,Monthly,2027-04-09,,,20.99,1020.0,2,0,,,,,
0361-MQMMI,Ruhul Shah,Nepal,Koshi,Male,1986-07-13,Web Series,56745,2025-09-03,Organic,basic,Monthly,2027-05-23,,,12.99,628.0,30,0,261.0,2026-03-04,N,5.0,1.0
0362-DAXQT,Anjali Patel,India,Kerala,Male,1974-11-13,"Movies, Sports",695873,2024-01-09,Organic,standard,Monthly,2027-01-16,,,27.99,1246.0,63,0,262.0,2025-12-03,Y,3.0,1.0
0363-COXQT,Aisha Sharma,India,Delhi,Male,1997-06-25,"Movies, Sports",110480,2024-10-17,Organic,premium,Monthly,2027-04-05,,,11.99,902.0,13,0,263.0,2026-05-20,N,3.0,1.0
0364-IZYDE,Priya Lama,Nepal,Kathmandu,Male,1986-02-20,Sports,44629,2025-04-13,Organic,standard,Annually,2026-10-15,,,18.99,893.0,4,0,,,,,
0365-CZCZC,Sneha Singh,Nepal,Kathmandu,Female,2001-10-19,"Documentaries, Live TV",44612,2025-09-02,Organic,basic,Annually,2027-05-20,2026-06-25,Switched to competitor,17.99,859.0,87,1,127.0,2026-05-19,Y,3.0,1.0
0366-IMXHE,Neha Singh,India,Punjab,Female,1985-11-19,Web Series,144278,2024-06-30,Organic,standard,Monthly,2026-07-27,,,15.99,232.0,10,0,264.0,2025-10-08,N,3.0,1.0
0367-LRMDL,Ruhul Tamang,India,Tamil Nadu,Female,1977-02-06,"Movies, Sports",600685,2026-05-17,Paid,premium,Annually,2026-09-11,,,22.99,415.0,15,0,,,,,
0368-CPYBJ,Neha Gupta,India,Maharashtra,Male,1996-07-18,"Documentaries, Live TV",400674,2026-07-03,Paid,basic,Monthly,2026-07-22,,,13.99,518.0,28,0,265.0,2026-02-19,N,5.0,1.0
0369-KJNWD,Aisha Adhikari,India,Maharashtra,Female,1983-09-20,"Movies, Sports",400096,2025-05-16,Organic,standard,Monthly,2026-09-12,,,24.99,870.0,1,0,,,,,
0370-FKHAP,Sneha Smith,India,Madhya Pradesh,Female,1995-10-14,"Documentaries, Live TV",462787,2025-06-23,Refferal,premium,Annually,2026-08-05,,,18.99,857.0,26,0,,,,,
0371-IQSGU,Aisha Gupta,Nepal,Karnali,Male,1978-06-20,Sports,21295,2023-12-03,Organic,premium,Monthly,2027-02-22,2026-04-08,Content fatigue,24.99,1172.0,95,1,355.0,2026-04-03,Y,1.0,2.0
0372-OXBWU,Priya Joshi,India,West Bengal,Female,1975-07-27,"Documentaries, Live TV",700292,2025-05-19,Refferal,premium,Annually,2026-09-03,,,12.99,1367.0,4,0,,,,,
0373-ECEUO,Kavita Thapa,Nepal,Lumbini,Female,2000-04-05,"Movies, Sports",32925,2024-05-16,Organic,standard,Monthly,2026-09-12,,,11.99,156.0,24,0,,,,,
0374-BLGQN,Pooja Tamang,India,Odisha,Male,2000-08-25,"Movies, Sports",751563,2023-12-18,Paid,basic,Annually,2027-02-07,,,22.99,977.0,24,0,,,,,
0375-FDPHO,Arjun Lama,India,Delhi,Female,2002-03-22,"Documentaries, Live TV",110591,2024-07-04,Paid,premium,Annually,2026-07-21,,,19.99,539.0,22,0,,,,,
0376-QVDSR,Ruhul Shrestha,Nepal,Gandaki,Male,1987-04-02,Web Series,33781,2024-04-19,Refferal,standard,Annually,2026-10-03,,,26.99,961.0,7,0,,,,,
0377-FNIBI,Ravi Joshi,Nepal,Gandaki,Male,1999-09-14,"Movies, Sports",33700,2024-04-26,Paid,premium,Annually,2026-09-26,,,17.99,837.0,13,0,266.0,2026-01-30,N,5.0,1.0
0378-DRCEF,Pooja Gurung,Nepal,Madhesh,Female,1974-11-03,Sports,44363,2023-10-22,Refferal,basic,Annually,2027-04-01,,,20.99,303.0,21,0,267.0,2025-12-26,N,5.0,1.0
0379-XCSNY,Neha Shrestha,Nepal,Sudurpashchim,Female,1985-07-02,Web Series,10980,2025-06-22,Refferal,standard,Annually,2026-07-31,,,10.99,1393.0,28,0,,,,,
0380-IGOFR,Anjali Tamang,India,West Bengal,Male,1987-07-15,"Documentaries, Live TV",700454,2024-02-16,Refferal,standard,Monthly,2026-12-05,,,20.99,600.0,16,0,,,,,
0381-WXKKR,Rohan Rai,Nepal,Sudurpashchim,Female,1984-05-20,Sports,10963,2023-10-26,Paid,premium,Annually,2027-03-30,,,10.99,691.0,16,0,268.0,2025-12-28,N,3.0,1.0
0382-IYYNV,Sunita Karki,Nepal,Kathmandu,Female,1988-12-03,Sports,44644,2025-09-11,Organic,standard,Annually,2027-05-15,2026-06-15,Too expensive,16.99,449.0,82,1,356.0,2026-06-07,Y,1.0,2.0
0383-SGDSJ,Ravi Karki,India,Telangana,Female,1988-04-11,"Documentaries, Live TV",500395,2023-12-22,Paid,standard,Monthly,2027-02-05,,,22.99,1418.0,29,0,,,,,
0384-OUSGK,Kiran Magar,Nepal,Koshi,Male,1984-02-19,Web Series,56789,2026-05-09,Refferal,premium,Annually,2026-09-17,2026-06-15,Too expensive,20.99,155.0,93,1,130.0,2026-06-11,Y,2.0,2.0
0385-XBMPX,Pooja Shah,India,Punjab,Female,1979-03-22,"Documentaries, Live TV",144710,2023-12-28,Refferal,basic,Monthly,2027-01-30,,,16.99,658.0,20,0,,,,,
0386-BWFKG,Priya Chaudhary,India,Karnataka,Male,1980-10-18,Web Series,560184,2026-05-26,Refferal,standard,Monthly,2026-09-02,,,17.99,1182.0,25,0,,,,,
0387-RWRRT,Kavita Tamang,India,Maharashtra,Female,1992-10-08,Web Series,400827,2025-11-30,Paid,basic,Monthly,2027-02-20,,,9.99,1454.0,12,0,,,,,
